id,title,date,media_usage,data_source,dimensions,sitter,type,medium,artist,manifestUrl,imageUrl
NPG-NPG_81_127,Theodore Roosevelt,1906,CC0,National Portrait Gallery,"Mat: 55.9 x 40.6cm (22 x 16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Underwood & Underwood, active 1880 - c. 1950",https://ids.si.edu/ids/manifest/NPG-NPG_81_127,https://ids.si.edu/ids/iiif/NPG-NPG_81_127/full/full/0/default.jpg
NPG-NPG_81_132,Theodore Roosevelt,1904,CC0,National Portrait Gallery,"13.6cm x 8.1cm (5 3/8"" x 3 3/16""), Image","Edith Kermit Carow Roosevelt, 6 Aug 1861 - 30 Sep 1948",Photograph,Gelatin silver print,"Jessie Tarbox Beals, 1870 - 30 May 1942",https://ids.si.edu/ids/manifest/NPG-NPG_81_132,https://ids.si.edu/ids/iiif/NPG-NPG_81_132/full/full/0/default.jpg
NPG-NPG_81_135,Theodore Roosevelt,1904,CC0,National Portrait Gallery,"7.8cm x 13cm (3 1/16"" x 5 1/8""), Image","Edith Kermit Carow Roosevelt, 6 Aug 1861 - 30 Sep 1948",Photograph,Gelatin silver print,"Jessie Tarbox Beals, 1870 - 30 May 1942",https://ids.si.edu/ids/manifest/NPG-NPG_81_135,https://ids.si.edu/ids/iiif/NPG-NPG_81_135/full/full/0/default.jpg
NPG-NPG_81_171,Theodore Roosevelt,1909,CC0,National Portrait Gallery,"40.1cm x 50.6cm (15 13/16"" x 19 15/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Barnett McPhee Clinedinst, Jr., 1862 - 1953",https://ids.si.edu/ids/manifest/NPG-NPG_81_171,https://ids.si.edu/ids/iiif/NPG-NPG_81_171/full/full/0/default.jpg
NPG-S-NPG_91_214,Theodore Roosevelt,c. 1905,CC0,National Portrait Gallery,"Mount: 27.4cm x 25.6cm (10 13/16"" x 10 1/16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Underwood & Underwood, active 1880 - c. 1950",https://ids.si.edu/ids/manifest/NPG-S-NPG_91_214,https://ids.si.edu/ids/iiif/NPG-S-NPG_91_214/full/full/0/default.jpg
NPG-NPG_87_288_n,Theodore Roosevelt,"Apr 1, 1907",CC0,National Portrait Gallery,"Book closed: 31.5 × 24.5 × 2.7 cm (12 3/8 × 9 5/8 × 1 1/16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Photogravure,"Alvin Langdon Coburn, 11 Jun 1882 - 23 Nov 1966",https://ids.si.edu/ids/manifest/NPG-NPG_87_288_n,https://ids.si.edu/ids/iiif/NPG-NPG_87_288_n/full/full/0/default.jpg
NPG-NPG_81_124,Theodore Roosevelt,1905,CC0,National Portrait Gallery,"25.3cm x 20.2cm (9 15/16"" x 7 15/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Underwood & Underwood, active 1880 - c. 1950",https://ids.si.edu/ids/manifest/NPG-NPG_81_124,https://ids.si.edu/ids/iiif/NPG-NPG_81_124/full/full/0/default.jpg
NPG-S-NPG_80_19,"Theodore Roosevelt, John Milton Hay, Joseph Gurney Cannon",c. 1905,CC0,National Portrait Gallery,"Image/Sheet: 28 × 75.5 cm (11 × 29 3/4"")","Joseph Gurney Cannon, 7 May 1836 - 12 Nov 1926",Drawing,Ink & whitner,"Charles Davis Mitchell, 1887 - 1940",https://ids.si.edu/ids/manifest/NPG-S-NPG_80_19,https://ids.si.edu/ids/iiif/NPG-S-NPG_80_19/full/full/0/default.jpg
NPG-NPG_81_133,Theodore Roosevelt,1904,CC0,National Portrait Gallery,"13.1cm x 7.5cm (5 3/16"" x 2 15/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Jessie Tarbox Beals, 1870 - 30 May 1942",https://ids.si.edu/ids/manifest/NPG-NPG_81_133,https://ids.si.edu/ids/iiif/NPG-NPG_81_133/full/full/0/default.jpg
NPG-NPG_81_134,Theodore Roosevelt,1904,CC0,National Portrait Gallery,"13.6cm x 8.1cm (5 3/8"" x 3 3/16""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Jessie Tarbox Beals, 1870 - 30 May 1942",https://ids.si.edu/ids/manifest/NPG-NPG_81_134,https://ids.si.edu/ids/iiif/NPG-NPG_81_134/full/full/0/default.jpg
NPG-NPG_81_130,Theodore Roosevelt,1904,CC0,National Portrait Gallery,"18.2cm x 23.1cm (7 3/16"" x 9 1/8""), Image","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Gelatin silver print,"Jessie Tarbox Beals, 1870 - 30 May 1942",https://ids.si.edu/ids/manifest/NPG-NPG_81_130,https://ids.si.edu/ids/iiif/NPG-NPG_81_130/full/full/0/default.jpg
NPG-NPG_96_116,Made Harmless at Last,1884,CC0,National Portrait Gallery,"Sheet: 33.7cm x 25.8cm (13 1/4"" x 10 3/16"")","Stephen Grover Cleveland, 18 Mar 1837 - 24 Jun 1908",Print,Chromolithograph on paper,"Frederich Graetz, c. 1840 - c. 1913",https://ids.si.edu/ids/manifest/NPG-NPG_96_116,https://ids.si.edu/ids/iiif/NPG-NPG_96_116/full/full/0/default.jpg
NPG-A2000852C_1,Theodore Roosevelt,1915,CC0,National Portrait Gallery,"Mount: 45 x 32.6cm (17 11/16 x 12 13/16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Photogravure,"Pirie MacDonald, 1867 - 1942",https://ids.si.edu/ids/manifest/NPG-A2000852C_1,https://ids.si.edu/ids/iiif/NPG-A2000852C_1/full/full/0/default.jpg
NPG-A2000852C_2,Theodore Roosevelt,1915,CC0,National Portrait Gallery,"Mount: 45 x 32.6cm (17 11/16 x 12 13/16"")","Theodore Roosevelt, 27 Oct 1858 - 6 Jan 1919",Photograph,Photogravure,"Pirie MacDonald, 1867 - 1942",https://ids.si.edu/ids/manifest/NPG-A2000852C_2,https://ids.si.edu/ids/iiif/NPG-A2000852C_2/full/full/0/default.jpg
NPG-7610134B_1,Theodore Roosevelt,1898,CC0,National Portrait Gallery,"Mat: 55.9 × 71.1 cm (22 × 28"")","Robert Anderson Van Wyck, 20 Jul 1849 - 14 Nov 1918",Print,Chromolithograph on paper,"Eugene Zimmerman, 1862 - 1935",https://ids.si.edu/ids/manifest/NPG-7610134B_1,https://ids.si.edu/ids/iiif/NPG-7610134B_1/full/full/0/default.jpg
NPM-0_242263_3171,30c Theodore Roosevelt plate proof,,CC0,National Postal Museum,,,Bureau Plate Proofs,paper; ink (deep ultramarine) / engraving,,https://ids.si.edu/ids/manifest/NPM-0_242263_3171,https://ids.si.edu/ids/iiif/NPM-0_242263_3171/full/full/0/default.jpg
ark:/65665/m3a69688294e0e4958896bd478dce861f7,Rumex verticillatus L.,,CC0,NMNH - Botany Dept.,,,,,,https://ids.si.edu/ids/manifest/ark:/65665/m3a69688294e0e4958896bd478dce861f7,https://ids.si.edu/ids/iiif/ark:/65665/m3a69688294e0e4958896bd478dce861f7/full/full/0/default.jpg
CHSDM-D30754D8E1512-000001,Theodore Roosevelt,1904,CC0,"Cooper Hewitt, Smithsonian Design Museum",,,Campaign ribbon,Medium: silk Technique: jacquard woven,,https://ids.si.edu/ids/manifest/CHSDM-D30754D8E1512-000001,https://ids.si.edu/ids/iiif/CHSDM-D30754D8E1512-000001/full/full/0/default.jpg
SAAM-2014.29.3_1,Theodore Roosevelt U.S. Mint Presidential Medal,1905,CC0,Smithsonian American Art Museum,3 in. (7.6 cm) diam.,Theodore Roosevelt,Sculpture-Medal,bronze,,https://ids.si.edu/ids/manifest/SAAM-2014.29.3_1,https://ids.si.edu/ids/iiif/SAAM-2014.29.3_1/full/full/0/default.jpg
SAAM-1955.9.3_1,Theodore Roosevelt,n.d.,CC0,Smithsonian American Art Museum,25 x 18 1/2 in. (63.5 x 47.0 cm),Theodore Roosevelt,Graphic Arts-Print,etching,"Sidney L. Smith, born Foxboro, MA 1845-died Boston, MA 1929",https://ids.si.edu/ids/manifest/SAAM-1955.9.3_1,https://ids.si.edu/ids/iiif/SAAM-1955.9.3_1/full/full/0/default.jpg
